"id","museum_code","specimen_id","specimen_id_original","genus","species","subspecies","locus","found_title"
"AFMTDNA876",NA,"FRA82","FRA82","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA82 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA877",NA,"FRA84","FRA84","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA84 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA878",NA,"FRA85","FRA85","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA85 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA879",NA,"FRA61","FRA61","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA61 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA880",NA,"FRA62","FRA62","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA62 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA881",NA,"FRA64","FRA64","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA64 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA882",NA,"FRA65","FRA65","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA65 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA883",NA,"FRA66","FRA66","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA66 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA885",NA,"FRA68","FRA68","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA68 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA886",NA,"FRA69","FRA69","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA69 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA887",NA,"FRA71","FRA71","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA71 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA888",NA,"FRA72","FRA72","Microspingus","cabanisi",NA,"cytb","Microspingus cabanisi isolate FRA72 cytochrome b (cytb) gene, complete cds; mitochondrial"
"AFMTDNA889","MACN-Or-ct","6971","MACN-Or-ct 6971","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct6971 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA890","MACN-Or-ct","1984","MACN-Or-ct 1984","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct1984 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA891","MACN-Or-ct","1987","MACN-Or-ct 1987","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct1987 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA892","MACN-Or-ct","2851","MACN-Or-ct 2851","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct2851 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA893","MACN-Or-ct","2865","MACN-Or-ct 2865","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct2865 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA894","MACN-Or-ct","3581","MACN-Or-ct 3581","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct3581 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA895","MACN-Or-ct","6827","MACN-Or-ct 6827","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct6827 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA896","MACN-Or-ct","7001","MACN-Or-ct 7001","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct7001 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA898","MACN-Or-ct","1969","MACN-Or-ct 1969","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MACN-Or-ct1969 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA899","MG","51927","MG51927","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MG51927 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA900","MG","51928","MG51928","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops MG51928 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA903","LGEMA","14586","LGEMA 14586","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA14586 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA904","LGEMA","14588","LGEMA 14588","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA14588 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA905","LGEMA","14642","LGEMA 14642","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA14642 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA907","LGEMA","14652","LGEMA 14652","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA14652 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA908","LGEMA","14707","LGEMA 14707","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA14707 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA909","LGEMA","2972","LGEMA 2972","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA2972 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA910","LGEMA","2975","LGEMA 2975","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA2975 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA911","LGEMA","2073","LGEMA 2073","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA2073 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA912","LGEMA","2074","LGEMA 2074","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA2074 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA913","LGEMA","2089","LGEMA 2089","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA2089 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA914","LGEMA","1141","LGEMA 1141","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA1141 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA915","LGEMA","1156","LGEMA 1156","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA1156 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA916","LGEMA","15091","LGEMA 15091","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA15091 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA917","LGEMA","15199","LGEMA 15199","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA15199 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA918","LGEMA","15200","LGEMA 15200","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA15200 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA919","LGEMA","1576","LGEMA 1576","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA1576 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA921","LGEMA","15205","LGEMA 15205","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA15205 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA922","LGEMA","1603","LGEMA 1603","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops LGEMA1603 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA923",NA,"B3301","B3301","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3301 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA924",NA,"B3264","B3264","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3264 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA925",NA,"B3297","B3297","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3297 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA926",NA,"B3298","B3298","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3298 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA927",NA,"B3300","B3300","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3300 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA929",NA,"B1367","B1367","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1367 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA930",NA,"B1402","B1402","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1402 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA931",NA,"B1818","B1818","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1818 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA933",NA,"B1265","B1265","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1265 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA934",NA,"B1072","B1072","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1072 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA935",NA,"B1254","B1254","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1254 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA937",NA,"B1077","B1077","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1077 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA938",NA,"B1078","B1078","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B1078 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA939",NA,"B3224","B3224","Trichothraupis","melanops",NA,"cytb","Trichothraupis melanops B3224 cytochrome b (Cytb) gene, partial cds; mitochondrial"
"AFMTDNA940","FMNH","392378","392378","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH392378 D-loop, partial sequence; mitochondrial"
"AFMTDNA941","FMNH","392379","392379","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH392379 D-loop, partial sequence; mitochondrial"
"AFMTDNA943","FMNH","399264","399264","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399264 D-loop, partial sequence; mitochondrial"
"AFMTDNA944","FMNH","399265","399265","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399265 D-loop, partial sequence; mitochondrial"
"AFMTDNA945","FMNH","399266","399266","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399266 D-loop, partial sequence; mitochondrial"
"AFMTDNA946","FMNH","399267","399267","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399267 D-loop, partial sequence; mitochondrial"
"AFMTDNA947","FMNH","399268","399268","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399268 D-loop, partial sequence; mitochondrial"
"AFMTDNA948","FMNH","392454","392454","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH392454 D-loop, partial sequence; mitochondrial"
"AFMTDNA949","FMNH","399269","399269","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399269 D-loop, partial sequence; mitochondrial"
"AFMTDNA950","FMNH","399270","399270","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399270 D-loop, partial sequence; mitochondrial"
"AFMTDNA951","FMNH","399271","399271","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399271 D-loop, partial sequence; mitochondrial"
"AFMTDNA952","FMNH","399272","399272","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399272 D-loop, partial sequence; mitochondrial"
"AFMTDNA953","FMNH","399274","399274","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399274 D-loop, partial sequence; mitochondrial"
"AFMTDNA954","FMNH","399275","399275","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399275 D-loop, partial sequence; mitochondrial"
"AFMTDNA955","FMNH","399278","399278","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher FMNH399278 D-loop, partial sequence; mitochondrial"
"AFMTDNA956","LGEMA","P1705","P1705","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1705 D-loop, partial sequence; mitochondrial"
"AFMTDNA957","LGEMA","P1706","P1706","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1706 D-loop, partial sequence; mitochondrial"
"AFMTDNA958","LGEMA","P1707","P1707","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1707 D-loop, partial sequence; mitochondrial"
"AFMTDNA959","LGEMA","P1130","P1130","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1130 D-loop, partial sequence; mitochondrial"
"AFMTDNA960","LGEMA","P1355","P1355","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1355 D-loop, partial sequence; mitochondrial"
"AFMTDNA961","LGEMA","P1358","P1358","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1358 D-loop, partial sequence; mitochondrial"
"AFMTDNA962","LGEMA","P1650","P1650","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1650 D-loop, partial sequence; mitochondrial"
"AFMTDNA963","LGEMA","P1698","P1698","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1698 D-loop, partial sequence; mitochondrial"
"AFMTDNA964","LGEMA","P1314","P1314","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1314 D-loop, partial sequence; mitochondrial"
"AFMTDNA965","LGEMA","P1316","P1316","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1316 D-loop, partial sequence; mitochondrial"
"AFMTDNA966","LGEMA","10318","10318","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMA10318 D-loop, partial sequence; mitochondrial"
"AFMTDNA967","LGEMA","10325","10325","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMA10325 D-loop, partial sequence; mitochondrial"
"AFMTDNA968","LGEMA","P1194","P1194","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1194 D-loop, partial sequence; mitochondrial"
"AFMTDNA969","LGEMA","P1196","P1196","Conopophaga","melanops",NA,"cr","Conopophaga melanops voucher LGEMAP1196 D-loop, partial sequence; mitochondrial"
"AFMTDNA970","LBEM","B0749","B0749","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0749 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA971","LBEM","B0752","B0752","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0752 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA972","LBEM","B0100","B0100","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0100 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA973","LBEM","B0231","B0231","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0231 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA974","LBEM","B0245","B0245","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0245 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA975","LBEM","B0517","B0517","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0517 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA976","LBEM","B1432","B1432","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1432 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA977","LBEM","B1585","B1585","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1585 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA978","LBEM","B1919","B1919","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1919 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA979","LBEM","B0741","B0741","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0741 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA980","LBEM","B1578","B1578","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1578 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA981","LBEM","B0946","B0946","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0946 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA982","LBEM","B0983","B0983","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B0983 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA983","LBEM","B1032","B1032","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1032 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA984","LBEM","B1023","B1023","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1023 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA985","LBEM","B1819","B1819","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone B1819 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA986","LGEMA","P434","P434","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P434 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA987","LGEMA","P438","P438","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P438 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA988","LGEMA","P444","P444","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P444 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA989","LGEMA","P507","P507","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P507 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA990","LGEMA","P600","P600","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P600 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA991","LGEMA","P1323","P1323","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1323 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA992","LGEMA","P1338","P1338","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1338 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA993","LGEMA","P1347","P1347","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1347 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA994","LGEMA","P1348","P1348","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1348 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA995","LGEMA","P1677","P1677","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1677 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA996","LGEMA","P1682","P1682","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1682 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA997","LGEMA","P1683","P1683","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1683 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA998","LGEMA","P1694","P1694","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1694 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA999","LGEMA","P765","P765","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P765 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1000","LGEMA","P766","P766","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P766 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1001","LGEMA","P857","P857","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P857 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1002","LGEMA","P879","P879","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P879 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1003","LGEMA","P991","P991","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P991 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1004","LGEMA","P1308","P1308","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1308 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1005","LGEMA","P1309","P1309","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1309 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1006","LGEMA","P1310","P1310","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1310 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1007","LGEMA","P1311","P1311","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1311 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1008","LGEMA","P1312","P1312","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1312 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1009","LGEMA","P1313","P1313","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1313 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1010","LGEMA","P1002","P1002","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1002 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1011","LGEMA","P1759","P1759","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1759 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1012","LGEMA","P1764","P1764","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1764 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1013","LGEMA","P1765","P1765","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1765 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1014","LGEMA","P1768","P1768","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1768 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1015","LGEMA","P1786","P1786","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1786 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1016","LGEMA","P1782","P1782","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1782 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1017","LGEMA","P1784","P1784","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1784 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1018","LGEMA","P1747","P1747","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1747 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1019","LGEMA","P1748","P1748","Tachyphonus","coronatus",NA,"cytb","Tachyphonus coronatus clone P1748 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1075","LGEMA","1170","LGEMA1170","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_1170 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1076","LGEMA","1177","LGEMA1177","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_1177 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1077","LGEMA","1181","LGEMA1181","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_1181 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1079","LGEMA","2988","LGEMA2988","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_2988 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1080","LGEMA","1285","LGEMA1285","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_1285 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1082","LGEMA","1368","LGEMA1368","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_1368 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1083","LGEMA","2054","LGEMA2054","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_2054 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1084","LGEMA","2067","LGEMA2067","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_2067 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1085","LGEMA","2068","LGEMA2068","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_2068 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1087","LGEMA","2187","LGEMA2187","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_2187 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1088","LGEMA","11419","LGEMA11419","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_11419 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1089","LGEMA","12022","LGEMA12022","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_12022 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1090","LGEMA","12036","LGEMA12036","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_12036 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1091","LGEMA","12037","LGEMA12037","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_12037 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1092","LGEMA","15591","LGEMA15591","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_15591 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1093","LGEMA","12048","LGEMA12048","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_12048 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1094","LGEMA","12056","LGEMA12056","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_12056 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1095","LGEMA","13011","LGEMA13011","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_13011 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1096","LGEMA","13013","LGEMA13013","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_13013 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1098","LGEMA","13018","LGEMA13018","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_13018 cytochrome b (cytb) gene, partial cds; mitochondrial"
"AFMTDNA1099","LGEMA","13021","LGEMA13021","Synallaxis","ruficapilla",NA,"cytb","Synallaxis ruficapilla voucher LGEMA_13021 cytochrome b (cytb) gene, partial cds; mitochondrial"
